Sample_Id,Gene,Rule_Id,Final_interpretation,IsPassedRule
BRA030,aac(3)-II,7,aac(3)-IId,1
BRA030,aacA27,,,
BRA030,aacA4,47,aacA4notGEN_1neg,1
BRA030,aadB,,,
BRA030,armA,,,
BRA030,blaACT/blaMIR,,,
BRA030,blaCMY-2-like,,,
BRA030,blaCTX-M,64,G8,1
BRA030,fosA3,,,
BRA030,rmtB,,,
BRA030,rmtC,,,
BRA030,rmtF,,,
BRA031,DHA,,,
BRA031,GES,,,
BRA031,IMP,,,
BRA031,KPC,,,
BRA031,NDM,,,
BRA031,OXA-10,,,
BRA031,OXA-30,117,blaOXA-30-like,1
BRA031,OXA-48,,,
BRA031,SHV,,,
BRA031,TEM,,,
BRA031,VEB,,,
BRA031,VIM,,,
BRA031,aac(3)-II,,,
BRA031,aacA27,,,
BRA031,aacA4,,,
BRA031,aadB,,,
BRA031,armA,,,
BRA031,blaACT/blaMIR,,,
BRA031,blaCMY-2-like,,,
BRA031,blaCTX-M,80,G1-240G,1
BRA031,fosA3,,,
BRA031,rmtB,,,
BRA031,rmtC,,,
BRA031,rmtF,,,
BRA032,DHA,,,
BRA032,GES,,,
BRA032,IMP,,,
BRA032,KPC,,,
BRA032,NDM,,,
BRA032,OXA-10,,,
BRA032,OXA-30,117,blaOXA-30-like,1
BRA032,OXA-48,,,
BRA032,SHV,,,
BRA032,TEM,157,blaTEM-1-like,1
BRA032,VEB,,,
BRA032,VIM,,,
BRA032,aac(3)-II,16,aac(3)-IIe,1
BRA032,aacA27,,,
BRA032,aacA4,,,
BRA032,aadB,,,
BRA032,armA,,,
BRA032,blaACT/blaMIR,,,
BRA032,blaCMY-2-like,,,
BRA032,blaCTX-M,80,G1-240G,1
BRA032,fosA3,,,
BRA032,rmtB,,,
BRA032,rmtC,,,
BRA032,rmtF,,,
BRA033,DHA,,,
BRA033,GES,,,
BRA033,IMP,,,
BRA033,KPC,,,
BRA033,NDM,,,
BRA033,OXA-10,,,
BRA033,OXA-30,,,
BRA033,OXA-48,,,
BRA033,SHV,,,
BRA033,TEM,157,blaTEM-1-like,1
BRA033,VEB,,,
BRA033,VIM,,,
BRA033,aac(3)-II,,,
BRA033,aacA27,,,
BRA033,aacA4,,,
BRA033,aadB,,,
BRA033,armA,,,
BRA033,blaACT/blaMIR,,,
BRA033,blaCMY-2-like,,,
BRA033,blaCTX-M,74,G9-240G,1
BRA033,fosA3,,,
BRA033,rmtB,,,
BRA033,rmtC,,,
BRA033,rmtF,,,
BRA034,DHA,,,
BRA034,GES,,,
BRA034,IMP,,,
BRA034,KPC,,,
BRA034,NDM,,,
BRA034,OXA-10,,,
BRA034,OXA-30,117,blaOXA-30-like,1
BRA034,OXA-48,,,
BRA034,SHV,,,
BRA034,TEM,,,
BRA034,VEB,,,
BRA034,VIM,,,
BRA034,aac(3)-II,16,aac(3)-IIe,1
BRA034,aacA27,,,
BRA034,aacA4,,,
BRA034,aadB,,,
BRA034,armA,,,
BRA034,blaACT/blaMIR,,,
BRA034,blaCMY-2-like,,,
BRA034,blaCTX-M,80,G1-240G,1
BRA034,fosA3,,,
BRA034,rmtB,,,
BRA034,rmtC,,,
BRA034,rmtF,,,
BRA035,DHA,,,
BRA035,GES,,,
BRA035,IMP,,,
BRA035,KPC,,,
BRA035,NDM,,,
BRA035,OXA-10,,,
BRA035,OXA-30,,,
BRA035,OXA-48,,,
BRA035,SHV,,,
BRA035,TEM,157,blaTEM-1-like,1
BRA035,VEB,,,
BRA035,VIM,,,
BRA035,aac(3)-II,7,aac(3)-IId,1
BRA035,aacA27,,,
BRA035,aacA4,47,aacA4notGEN_1neg,1
BRA035,aadB,,,
BRA035,armA,,,
BRA035,blaACT/blaMIR,,,
BRA035,blaCMY-2-like,,,
BRA035,blaCTX-M,70,G9-240D,1
BRA035,fosA3,,,
BRA035,rmtB,120,rmtB,1
BRA035,rmtC,,,
BRA035,rmtF,,,
BRA036,DHA,,,
BRA036,GES,,,
